Date,Location,ShortName,LongName,Census2019,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Administered_Fed_LTC_Dose2_Residents,Administered_Fed_LTC_Dose2_Staff,Administered_Fed_LTC_Dose2_Unk
2021-02-10,AK,AKA,Alaska,731545,4642,3587,1050,,,,,,
2021-02-10,AL,ALA,Alabama,4903185,56610,41911,14587,,,,,,
2021-02-10,AR,ARA,Arkansas,3017804,20813,17714,3083,,,,,,
2021-02-10,AS,ASA,American Samoa,55689,0,0,0,,,,,,
2021-02-10,AZ,AZA,Arizona,7278717,58961,51884,6905,,,,,,
2021-02-10,BP2,BP2,Bureau of Prisons,0,0,0,0,,,,,,
2021-02-10,CA,CAA,California,39512223,477862,369687,106842,,,,,,
2021-02-10,CO,COA,Colorado,5758736,94899,68778,25727,,,,,,
2021-02-10,CT,CTA,Connecticut,3565287,104844,68558,35695,,,,,,
2021-02-10,DC,DCA,District of Columbia,705749,5763,4457,1212,,,,,,
2021-02-10,DD2,DD2,Dept of Defense,0,0,0,0,,,,,,
2021-02-10,DE,DEA,Delaware,973764,26156,20904,5142,,,,,,
2021-02-10,FL,FLA,Florida,21477737,305736,212445,91587,,,,,,
2021-02-10,FM,FMA,Federated States of Micronesia,103643,56,56,0,,,,,,
2021-02-10,GA,GAA,Georgia,10617423,85210,60410,24469,,,,,,
2021-02-10,GU,GUA,Guam,165768,0,0,0,,,,,,
2021-02-10,HI,HIA,Hawaii,1415872,17257,12301,4950,,,,,,
2021-02-10,IA,IAA,Iowa,3155070,105830,77839,27455,,,,,,
2021-02-10,ID,IDA,Idaho,1787065,18560,14156,4352,,,,,,
2021-02-10,IH2,IH2,Indian Health Svc,0,0,0,0,,,,,,
2021-02-10,IL,ILA,Illinois,12671821,270769,217871,52371,,,,,,
2021-02-10,IN,INA,Indiana,6732219,82420,66327,15926,,,,,,
2021-02-10,KS,KSA,Kansas,2913314,71617,50097,21380,,,,,,
2021-02-10,KY,KYA,Kentucky,4467673,76636,54607,21819,,,,,,
2021-02-10,LA,LAA,Louisiana,4648794,73147,62569,10280,,,,,,
2021-02-10,MA,MAA,Massachusetts,6892503,221940,156307,64453,,,,,,
2021-02-10,MD,MDA,Maryland,6045680,100006,75189,24289,,,,,,
2021-02-10,ME,MEA,Maine,1344212,29334,20226,9059,,,,,,
2021-02-10,MH,MHA,Marshall Islands,58413,0,0,0,,,,,,
2021-02-10,MI,MIA,Michigan,9986857,168382,139564,28135,,,,,,
2021-02-10,MN,MNA,Minnesota,5639632,95016,80387,14361,,,,,,
2021-02-10,MO,MOA,Missouri,6137428,93154,77140,15814,,,,,,
2021-02-10,MP,MPA,Northern Mariana Islands,56882,1,1,0,,,,,,
2021-02-10,MS,MSA,Mississippi,2976149,35692,27275,8334,,,,,,
2021-02-10,MT,MTA,Montana,1068778,15741,11949,3778,,,,,,
2021-02-10,NC,NCA,North Carolina,10488084,135317,109858,25041,,,,,,
2021-02-10,ND,NDA,North Dakota,762062,5776,3485,2265,,,,,,
2021-02-10,NE,NEA,Nebraska,1934408,50244,36030,14081,,,,,,
2021-02-10,NH,NHA,New Hampshire,1359711,35885,23320,12454,,,,,,
2021-02-10,NJ,NJA,New Jersey,8882190,172856,122024,50226,,,,,,
2021-02-10,NM,NMA,New Mexico,2096829,24450,19720,4582,,,,,,
2021-02-10,NV,NVA,Nevada,3080156,49337,41615,7653,,,,,,
2021-02-10,NY,NYA,New York State,19453561,295481,209766,82762,,,,,,
2021-02-10,OH,OHA,Ohio,11689100,292016,208314,81268,,,,,,
2021-02-10,OK,OKA,Oklahoma,3956971,49002,38198,10574,,,,,,
2021-02-10,OR,ORA,Oregon,4217737,71397,56312,14983,,,,,,
2021-02-10,PA,PAA,Pennsylvania,12801989,274133,196234,76541,,,,,,
2021-02-10,PR,PRA,Puerto Rico,3193694,43000,40699,2283,,,,,,
2021-02-10,RI,RIA,Rhode Island,1059361,30524,22695,7712,,,,,,
2021-02-10,RP,RPA,Republic of Palau,17907,0,0,0,,,,,,
2021-02-10,SC,SCA,South Carolina,5148714,71228,54367,16389,,,,,,
2021-02-10,SD,SDA,South Dakota,884659,10730,7942,2778,,,,,,
2021-02-10,TN,TNA,Tennessee,6829174,64867,55366,9360,,,,,,
2021-02-10,TX,TXA,Texas,28995881,374570,258252,114480,,,,,,
2021-02-10,UT,UTA,Utah,3205958,43380,31121,12154,,,,,,
2021-02-10,VA,VAA,Virginia,8535519,143775,103554,39111,,,,,,
2021-02-10,VA2,VA2,Veterans Health,0,0,0,0,,,,,,
2021-02-10,VI,VIA,Virgin Islands,104680,7,6,1,,,,,,
2021-02-10,VT,VTA,Vermont,623989,14793,10279,4447,,,,,,
2021-02-10,WA,WAA,Washington,7614893,92429,76711,15354,,,,,,
2021-02-10,WI,WIA,Wisconsin,5822434,92699,77762,14829,,,,,,
2021-02-10,WV,WVA,West Virginia,1792147,16951,13716,3213,,,,,,
2021-02-10,WY,WYA,Wyoming,578759,4598,3358,1227,,,,,,
2021-02-10,US,USA,United States,331996199,5176499,3884900,1268823,1761979.0,1229534.0,893387.0,666939.0,468452.0,133432.0
